,track_name,_description
76,7kvUALvWUS1AjG6aGT6ADn,someone you loved  the voice performance hailey mia someone you loved - the voice performance lowpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key3 
77,7EsOUhiJcpxVy8XbF2iMZk,i’ll stand by you  the voice performance hailey mia i’ll stand by you - the voice performance lowpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key9 
78,0uSnRhqpLM1BQkYGDKGpaV,elastic heart  the voice performance hailey mia elastic heart - the voice performance lowpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness slowtempo midvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key8 
79,1LVbL3pJWk6ScZErJfwNXt,your song  the voice performance jim and sasha allen your song - the voice performance lowpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key6 
80,4GWXGMzT0Cg1xcFz5KfJU3,mrs robinson  the voice performance jim and sasha allen mrs. robinson - the voice performance lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo midvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key6 
81,5fvsKMqZd9Vf474MpWzG0R,humble and kind  the voice performance lana scott humble and kind - the voice performance lowpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key5 
82,1AFsWowCAapsEs9CO6O8he,blue bayou  the voice performance wendy moten blue bayou - the voice performance lowpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence lowalbum_popularity midartist_popularity presenttime  key10 
83,0DmfHon0UEWlHdBHGaa0kB,christmas is feat miley cyrus dolly parton christmas is (feat. miley cyrus) lowpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence lowalbum_popularity highartist_popularity presenttime country country dawn classic country pop key11 
84,5fSPbm5lcwtqwXkeQQswW8,record year eric church record year midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key5 
85,4CkgMiMqZ5JzW9iYXSTMTL,i bet you think about me feat chris stapleton taylor’s version from the vault taylor swift i bet you think about me (feat. chris stapleton) (taylor’s version) (from the vault) highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop key0 
