,track_id,track_name,track_duration,track_popularity,track_releaseDate,track_uri,artist_name,artist_id,album_id,album_name
724,3M2bD9SMYnJIPdrTKUnBd3,I Know It's Over - 2011 Remaster,349186,66,1986-06-16,spotify:track:3M2bD9SMYnJIPdrTKUnBd3,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,5Y0p2XCgRRIjna91aQE8q7,The Queen Is Dead
725,4mWsghl493RZGUBEWfcqjc,Mosquito Song,338333,39,2002,spotify:track:4mWsghl493RZGUBEWfcqjc,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,58HZZpS0wxJKwGjoerg0mk,Songs For The Deaf
726,1bloF1LHgUVvPJLxrzxgu7,Automobile,186906,54,2016-06-10,spotify:track:1bloF1LHgUVvPJLxrzxgu7,KALEO,7jdFEYD2LTYjfwxOdlVjmc,4he4SQup02hEIQdwhZlZlk,A/B
727,3Z6cltU0OfbUdSZtZlzKPL,Dream Girl,179286,69,2019-02-14,spotify:track:3Z6cltU0OfbUdSZtZlzKPL,Crisaunt,0cuIIYEWDS7V1iBl65NtL6,2BVQCnH3Sj7lcBGAP9wPh1,Dream Girl
728,3tEfPRnUgsQTYOtepBYxdZ,Karma,237800,34,2021-03-11,spotify:track:3tEfPRnUgsQTYOtepBYxdZ,Sarah Kinsley,34A8vV1MCxGpA14KspqQuC,2Eial56rjjEY3qCCMt0KNc,Karma
729,6KkyuDhrEhR5nJVKtv9mCf,High Hopes,230266,67,2013-06-17,spotify:track:6KkyuDhrEhR5nJVKtv9mCf,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,1ttGpGzOEi6JDDOHO4qD1y,In A Perfect World (Expanded Edition)
730,5OJkXdRgQPGrbl6aGnGH1G,vaya con dios,175539,55,2020-12-04,spotify:track:5OJkXdRgQPGrbl6aGnGH1G,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,00wSTrFxoSzA7eeS1UxHgd,Sin Miedo (del Amor y Otros Demonios) ∞
731,0Ui4S8sgBCXv4Ao1HhTTun,//aguardiente y limón %ᵕ‿‿ᵕ%,161539,56,2020-12-04,spotify:track:0Ui4S8sgBCXv4Ao1HhTTun,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,00wSTrFxoSzA7eeS1UxHgd,Sin Miedo (del Amor y Otros Demonios) ∞
732,1zEYit90Y2TauCsvo4lx4g,Kouen,85046,23,2019-11-28,spotify:track:1zEYit90Y2TauCsvo4lx4g,Lo-Fi Beats,5ta3k5Pi4l1ldup7yn9exF,6fZIcxF3qGX7DWevJpdEYv,Kouen
733,5Kr3TRWDBlK0PuyGhv5kVs,Smoking at Midnight,95921,52,2016-05-06,spotify:track:5Kr3TRWDBlK0PuyGhv5kVs,Tomppabeats,0Q2Tc5yZFJpumLMc7Yz4e4,2p2dzaB6jqlKi4Oj2WlFoN,Harbor
734,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,279204,82,2020-12-25,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,7tYKF4w9nC0nq9CsPZTHyP,781cKhbTPwLnPmo9BALQl7,Good Days
735,45w86uzBafgXs1xP9DKXi8,Confide In Me,271054,0,2017-09-29,spotify:track:45w86uzBafgXs1xP9DKXi8,Tame Impala,5INjqkS1o8h1imAzPqGZBb,27S6Is4HmPqj3z13tAV23w,triple j Like A Version
736,59JOMc9A6w8CkIHgs4kfNl,Chagu's Sideturn,210106,46,2018-06-28,spotify:track:59JOMc9A6w8CkIHgs4kfNl,Peach Pit,6fC2AcsQtd9h4BWELbbire,6xduu32sm4aidoLhaxYkUA,Being So Normal
737,2SPxgEush9C8GS5RqgXdqi,Without You,155546,0,2020-05-15,spotify:track:2SPxgEush9C8GS5RqgXdqi,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,6daEdTBi1hyFQgmsnR7oRr,Set My Heart On Fire Immediately
738,0yKGCvh3lFHp20gwVzTS2S,Just Like Love,196133,0,2017-05-05,spotify:track:0yKGCvh3lFHp20gwVzTS2S,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,7awgq3vvlsIeA7dZduR9x4,No Shape
739,4ONbE2UQU0hiizcxR4fToc,Hood,120093,0,2012-02-20,spotify:track:4ONbE2UQU0hiizcxR4fToc,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,5hjlzVCJCePW4DmMJVryla,Put Your Back N 2 It
