,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,indie pop,pop,modern rock,gen z singer-songwriter,brooklyn indie,alt z,bubblegrunge,post-teen pop,slc indie,small room,canadian pop,boston folk,lo-fi indie,jacksonville indie,electropop,la indie,bedroom soul,chill r&b,cincinnati indie,connecticut indie,folk-pop,indie folk,permanent wave,modern indie folk,indie r&b,oklahoma country,stomp and holler,rock,acoustic rock,uk americana
21,1gztFMEaH1IZmoPnlcuq8o,Ruby Fields,187344,39,spotify:track:1gztFMEaH1IZmoPnlcuq8o,Sarah and the Sundays,1vnh2cDW2CgA5M1ya95mZG,5XSXpHBs6NGRAVEsGgiOUF,So You're Mad About the Cups,0.474,0.542,0.505,4.69e-05,0.215,-6.972,0,0.0268,144.876,4,0.332,37,51,2019,05,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1VyA8mbSyXOdJx2lguR8Uu,Romeo & Juliet,166137,66,spotify:track:1VyA8mbSyXOdJx2lguR8Uu,Peter McPoland,23E65IfLBGQv0FBrMwCcG2,6Bdil490atXzxeG4pevs7o,Romeo & Juliet,0.454,0.318,0.476,1.57e-05,0.503,-7.108,1,0.0441,160.737,4,0.0807,55,54,2020,07,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4MXE6VCvTsQitHWrAxj7Kg,Maple Syrup,243529,71,spotify:track:4MXE6VCvTsQitHWrAxj7Kg,The Backseat Lovers,6p2HnfM955TI1bX34dkLnI,3TSMSh5dai7WEnEGOoMXBZ,When We Were Friends,0.0447,0.543,0.526,0.0533,0.0778,-9.703,1,0.0582,153.0,3,0.384,71,67,2019,01,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,35IcAVSMsU9qzHfpPbvC8A,Feels Like,152317,71,spotify:track:35IcAVSMsU9qzHfpPbvC8A,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,7l2g05NyprwonSFIs2y8at,This Is What It Feels Like,0.702,0.617,0.483,0.000216,0.121,-7.359,1,0.0458,144.99,4,0.176,68,68,2021,11,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,69jstgacdd40OwG9cLl45r,Goodnight,176746,62,spotify:track:69jstgacdd40OwG9cLl45r,Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,3nP0DOBWPfEToiDGMXZCAb,Three. Two. One.,0.603,0.484,0.346,0.000181,0.204,-10.441,1,0.0371,79.972,3,0.0974,60,65,2020,04,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,33DWkHTEF8LmdxI1OPc50a,hate to be lame (feat. FINNEAS),156798,49,spotify:track:33DWkHTEF8LmdxI1OPc50a,Lizzy McAlpine,1GmsPCcpKgF9OhlNXjOsbS,7vh3nkUP7HlDQIeSm7Ht6N,five seconds flat,0.869,0.507,0.252,0.000293,0.0819,-12.625,0,0.0616,137.314,3,0.307,53,67,2022,04,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,6yg9sPJsnGStmIIcxzOaTL,Golf On TV,191133,55,spotify:track:6yg9sPJsnGStmIIcxzOaTL,Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,3nP0DOBWPfEToiDGMXZCAb,Three. Two. One.,0.562,0.675,0.466,0.0,0.237,-8.744,1,0.197,105.047,4,0.19,60,65,2020,04,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,14NUzP69qYaAdkU0fUGwD5,reckless driving (feat. Ben Kessler),189247,45,spotify:track:14NUzP69qYaAdkU0fUGwD5,Lizzy McAlpine,1GmsPCcpKgF9OhlNXjOsbS,7vh3nkUP7HlDQIeSm7Ht6N,five seconds flat,0.675,0.534,0.39,0.0,0.185,-10.495,1,0.233,199.975,4,0.429,53,67,2022,04,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4sQ6mrzFYOgR142SHJFOSJ,The Store,196906,17,spotify:track:4sQ6mrzFYOgR142SHJFOSJ,Mills,7MceGzCJ3bPNyErb440Izo,2AOcQpHVitNMginqd9EPek,The Store,0.00029,0.497,0.669,0.0,0.139,-4.442,1,0.0323,126.928,4,0.58,9,40,2021,08,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0HfrMtru5FIDJj4PsTJUzN,Mile High,209083,37,spotify:track:0HfrMtru5FIDJj4PsTJUzN,Public Library Commute,2FEdyVgGMSclOsYJ4wAQUY,2eYwdlhodCN73iyILQmfFM,Mile High,0.515,0.702,0.67,0.112,0.104,-8.523,0,0.0363,96.017,4,0.723,26,47,2022,07,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,4wPKUEm0EOoyUiFtI6mz1a,Lady by the Sea,182983,57,spotify:track:4wPKUEm0EOoyUiFtI6mz1a,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,1RIfaHeT5rAniJ6i0x8zjU,Lady by the Sea,0.284,0.439,0.503,5.6e-05,0.152,-10.029,1,0.0281,186.01,3,0.519,46,76,2020,12,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4RQLB1gBKVwjW7K4L6quaA,String Lights,230200,45,spotify:track:4RQLB1gBKVwjW7K4L6quaA,Peter McPoland,23E65IfLBGQv0FBrMwCcG2,5DetXihzyXyvc9JDXaQsCU,Slow Down,0.569,0.491,0.465,5.94e-05,0.113,-6.092,1,0.0308,128.068,3,0.316,50,54,2022,05,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0elCmyfISzkP5tAYTVuYjS,August,261734,63,spotify:track:0elCmyfISzkP5tAYTVuYjS,flipturn,7FKTg75ADVMZgY3P9ZMRtH,7iTm9yZznLHb1GBOVm5IB1,Citrona,0.0892,0.45,0.602,0.00625,0.107,-4.301,1,0.0273,172.161,4,0.16,54,55,2018,04,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,3Rg5r1w6B7ZXEhd5elZ7Np,Float,271137,64,spotify:track:3Rg5r1w6B7ZXEhd5elZ7Np,HARBOUR,58bPSgeKpyyFlJ9LatULIO,1FNraVqmo20A7u9b1Y7FcF,Thoughts on Letting Go,0.0381,0.555,0.799,9.48e-05,0.131,-6.333,1,0.0435,144.728,4,0.343,54,53,2019,09,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3FRJFImdfX5NSY3QH3jI4u,Glistening,247559,47,spotify:track:3FRJFImdfX5NSY3QH3jI4u,flipturn,7FKTg75ADVMZgY3P9ZMRtH,4cZhiGqIqqqlHxWOC9r7Jp,Something You Needed,0.26,0.658,0.83,1.33e-05,0.108,-5.522,1,0.0307,127.04,4,0.336,40,55,2020,02,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4XMip32XS16zAngezD8bEv,Heavy,258719,52,spotify:track:4XMip32XS16zAngezD8bEv,The Backseat Lovers,6p2HnfM955TI1bX34dkLnI,2S1TTUATkAuCDld0tQjDpN,Heavy,0.0528,0.652,0.326,0.0063,0.113,-10.014,0,0.0287,113.978,4,0.179,41,67,2020,07,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,6spkJelK61dvwggDt6WTOr,Hollow,183386,24,spotify:track:6spkJelK61dvwggDt6WTOr,Mills,7MceGzCJ3bPNyErb440Izo,66vmDvKQOqSaUq0HzVKu8B,Train of Thoughts,0.671,0.367,0.272,0.000202,0.153,-10.02,1,0.0295,99.525,3,0.482,24,40,2021,04,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
